ID,name,dif,time,priority,min.exp,code,urgency
151,"Создать элемент 'Ландшафт' для локации 1 уровня 4, объект 2",5,10,1,5,3,2
152,"Создать элемент 'Препятствия' для локации 1 уровня 4, объект 3",5,5,2,5,2,1
153,"Создать элемент 'Препятствия' для локации 1 уровня 4, объект 4",3,3,2,3,2,1
154,"Создать элемент 'Препятствия' для локации 1 уровня 4, объект 5",4,12,1,4,2,3
155,"Создать элемент 'Препятствия' для локации 1 уровня 4, объект 6",5,10,3,5,2,2
156,"Создать элемент 'Растительность' для локации 1 уровня 4, объект 7",2,2,2,2,2,2
157,"Создать элемент 'Камни' для локации 1 уровня 4, объект 8",1,1,3,1,2,3
158,"Создать элемент 'Препятствия' для локации 1 уровня 4, объект 9",5,15,1,5,2,2
159,"Создать элемент 'Ландшафт' для локации 1 уровня 4, объект 10",5,10,1,5,3,3
160,"Создать элемент 'Внешний вид' для локации 1 уровня 4, объект 1",3,3,1,3,2,3
161,"Создать элемент 'Звук' для локации 1 уровня 4, объект 2",4,12,1,4,5,2
162,"Создать элемент 'Внешний вид' для локации 1 уровня 4, объект 3",4,12,3,4,2,2
163,"Создать элемент 'Звук' для локации 1 уровня 4, объект 4",4,8,3,4,5,3
164,"Создать элемент 'Анимации' для локации 1 уровня 4, объект 5",2,2,2,2,2,2
165,"Создать элемент 'Внешний вид' для локации 1 уровня 4, объект 6",5,10,1,5,2,1
166,"Создать элемент 'Атаки' для локации 1 уровня 4, объект 7",2,4,1,2,1,2
167,"Создать элемент 'Атаки' для локации 1 уровня 4, объект 8",4,12,2,4,1,2
168,"Создать элемент 'Атаки' для локации 1 уровня 4, объект 9",1,2,1,1,1,3
169,"Создать элемент 'Внешний вид' для локации 1 уровня 4, объект 10",2,6,2,2,2,2
170,"Создать элемент 'Атаки' для локации 1 уровня 4, объект 1",2,2,1,2,1,2
171,"Создать элемент 'Атаки' для локации 1 уровня 4, объект 2",4,12,3,4,1,2
172,"Создать элемент 'Анимации' для локации 1 уровня 4, объект 3",5,10,2,5,2,2
173,"Создать элемент 'Звук' для локации 1 уровня 4, объект 4",3,9,1,3,5,1
174,"Создать элемент 'Анимации' для локации 1 уровня 4, объект 5",3,3,2,3,2,3
175,"Создать элемент 'Анимации' для локации 1 уровня 4, объект 6",1,2,2,1,2,3
176,"Создать элемент 'Атаки' для локации 1 уровня 4, объект 7",2,6,3,2,1,3
177,"Создать элемент 'Атаки' для локации 1 уровня 4, объект 8",2,4,1,2,1,3
178,"Создать элемент 'Атаки' для локации 1 уровня 4, объект 9",1,2,3,1,1,1
179,"Создать элемент 'Звук' для локации 1 уровня 4, объект 10",4,12,1,4,5,1
180,"Создать элемент 'Количество' для локации 1 уровня 4, объект 1",4,4,1,4,4,2
181,"Создать элемент 'Количество' для локации 1 уровня 4, объект 2",1,3,1,1,4,3
182,"Создать элемент 'Количество' для локации 1 уровня 4, объект 3",4,8,2,4,4,3
183,"Создать элемент 'Количество' для локации 1 уровня 4, объект 4",4,8,3,4,4,3
184,"Создать элемент 'Тип' для локации 1 уровня 4, объект 5",1,2,1,1,4,3
185,"Создать элемент 'Тип' для локации 1 уровня 4, объект 6",3,9,3,3,4,3
186,"Создать элемент 'Тип' для локации 1 уровня 4, объект 7",3,9,2,3,4,2
187,"Создать элемент 'Количество' для локации 1 уровня 4, объект 8",2,6,3,2,4,2
188,"Создать элемент 'Количество' для локации 1 уровня 4, объект 9",4,12,1,4,4,2
189,"Создать элемент 'Количество' для локации 1 уровня 4, объект 10",5,10,3,5,4,1
190,"Создать элемент 'Окружение' для локации 1 уровня 4, объект 1",1,3,3,1,5,1
191,"Создать элемент 'Саундтрек' для локации 1 уровня 4, объект 2",4,12,2,4,5,3
192,"Создать элемент 'Саундтрек' для локации 1 уровня 4, объект 3",4,12,2,4,5,1
193,"Создать элемент 'Саундтрек' для локации 1 уровня 4, объект 4",4,12,2,4,5,3
194,"Создать элемент 'Окружение' для локации 1 уровня 4, объект 5",5,10,3,5,5,1
195,"Создать элемент 'Саундтрек' для локации 1 уровня 4, объект 6",1,1,1,1,5,1
196,"Создать элемент 'Саундтрек' для локации 1 уровня 4, объект 7",4,8,1,4,5,1
197,"Создать элемент 'Саундтрек' для локации 1 уровня 4, объект 8",5,10,1,5,5,2
198,"Создать элемент 'Окружение' для локации 1 уровня 4, объект 9",1,1,1,1,5,2
199,"Создать элемент 'Саундтрек' для локации 1 уровня 4, объект 10",3,3,2,3,5,3
200,"Создать элемент 'Камни' для локации 1 уровня 5, объект 1",1,1,2,1,2,3
201,"Создать элемент 'Ландшафт' для локации 1 уровня 5, объект 2",3,3,1,3,3,3
202,"Создать элемент 'Ландшафт' для локации 1 уровня 5, объект 3",5,10,3,5,3,3
203,"Создать элемент 'Препятствия' для локации 1 уровня 5, объект 4",1,1,3,1,2,1
204,"Создать элемент 'Препятствия' для локации 1 уровня 5, объект 5",1,1,2,1,2,1
205,"Создать элемент 'Растительность' для локации 1 уровня 5, объект 6",1,1,1,1,2,3
206,"Создать элемент 'Растительность' для локации 1 уровня 5, объект 7",2,2,1,2,2,2
207,"Создать элемент 'Камни' для локации 1 уровня 5, объект 8",3,9,2,3,2,1
208,"Создать элемент 'Препятствия' для локации 1 уровня 5, объект 9",2,2,1,2,2,2
209,"Создать элемент 'Растительность' для локации 1 уровня 5, объект 10",2,6,1,2,2,3
210,"Создать элемент 'Внешний вид' для локации 1 уровня 5, объект 1",2,6,3,2,2,3
211,"Создать элемент 'Внешний вид' для локации 1 уровня 5, объект 2",4,8,1,4,2,2
212,"Создать элемент 'Внешний вид' для локации 1 уровня 5, объект 3",3,6,1,3,2,1
213,"Создать элемент 'Звук' для локации 1 уровня 5, объект 4",1,1,3,1,5,2
214,"Создать элемент 'Атаки' для локации 1 уровня 5, объект 5",2,2,2,2,1,3
215,"Создать элемент 'Атаки' для локации 1 уровня 5, объект 6",5,5,1,5,1,2
216,"Создать элемент 'Звук' для локации 1 уровня 5, объект 7",1,3,1,1,5,2
217,"Создать элемент 'Атаки' для локации 1 уровня 5, объект 8",3,6,3,3,1,1
218,"Создать элемент 'Атаки' для локации 1 уровня 5, объект 9",3,9,3,3,1,3
219,"Создать элемент 'Звук' для локации 1 уровня 5, объект 10",1,1,1,1,5,3
220,"Создать элемент 'Атаки' для локации 1 уровня 5, объект 1",3,3,2,3,1,3
221,"Создать элемент 'Звук' для локации 1 уровня 5, объект 2",4,8,2,4,5,1
222,"Создать элемент 'Внешний вид' для локации 1 уровня 5, объект 3",5,15,2,5,2,1
223,"Создать элемент 'Внешний вид' для локации 1 уровня 5, объект 4",4,4,1,4,2,1
224,"Создать элемент 'Анимации' для локации 1 уровня 5, объект 5",2,4,1,2,2,2
225,"Создать элемент 'Звук' для локации 1 уровня 5, объект 6",3,9,2,3,5,2
226,"Создать элемент 'Внешний вид' для локации 1 уровня 5, объект 7",5,10,1,5,2,2
227,"Создать элемент 'Звук' для локации 1 уровня 5, объект 8",2,2,2,2,5,1
228,"Создать элемент 'Атаки' для локации 1 уровня 5, объект 9",3,9,2,3,1,3
229,"Создать элемент 'Звук' для локации 1 уровня 5, объект 10",1,1,3,1,5,2
230,"Создать элемент 'Количество' для локации 1 уровня 5, объект 1",4,4,2,4,4,2
231,"Создать элемент 'Количество' для локации 1 уровня 5, объект 2",2,2,1,2,4,1
232,"Создать элемент 'Количество' для локации 1 уровня 5, объект 3",3,3,3,3,4,3
233,"Создать элемент 'Количество' для локации 1 уровня 5, объект 4",4,8,2,4,4,2
234,"Создать элемент 'Тип' для локации 1 уровня 5, объект 5",5,15,1,5,4,2
235,"Создать элемент 'Тип' для локации 1 уровня 5, объект 6",3,3,1,3,4,3
236,"Создать элемент 'Количество' для локации 1 уровня 5, объект 7",5,5,2,5,4,3
237,"Создать элемент 'Тип' для локации 1 уровня 5, объект 8",4,4,3,4,4,2
238,"Создать элемент 'Количество' для локации 1 уровня 5, объект 9",5,5,2,5,4,2
239,"Создать элемент 'Тип' для локации 1 уровня 5, объект 10",5,5,2,5,4,2
240,"Создать элемент 'Окружение' для локации 1 уровня 5, объект 1",1,2,2,1,5,3
241,"Создать элемент 'Окружение' для локации 1 уровня 5, объект 2",5,5,3,5,5,2
242,"Создать элемент 'Саундтрек' для локации 1 уровня 5, объект 3",5,5,1,5,5,3
243,"Создать элемент 'Саундтрек' для локации 1 уровня 5, объект 4",1,2,2,1,5,2
244,"Создать элемент 'Окружение' для локации 1 уровня 5, объект 5",3,9,1,3,5,1
245,"Создать элемент 'Саундтрек' для локации 1 уровня 5, объект 6",4,4,2,4,5,1
246,"Создать элемент 'Саундтрек' для локации 1 уровня 5, объект 7",5,10,2,5,5,3
247,"Создать элемент 'Саундтрек' для локации 1 уровня 5, объект 8",3,9,3,3,5,1
248,"Создать элемент 'Саундтрек' для локации 1 уровня 5, объект 9",4,4,3,4,5,3
249,"Создать элемент 'Саундтрек' для локации 1 уровня 5, объект 10",3,3,3,3,5,2
250,"Создать элемент 'Растительность' для локации 1 уровня 6, объект 1",2,4,2,2,2,1
251,"Создать элемент 'Камни' для локации 1 уровня 6, объект 2",4,12,3,4,2,3
252,"Создать элемент 'Ландшафт' для локации 1 уровня 6, объект 3",3,3,1,3,3,3
253,"Создать элемент 'Растительность' для локации 1 уровня 6, объект 4",4,8,2,4,2,1
254,"Создать элемент 'Растительность' для локации 1 уровня 6, объект 5",1,3,2,1,2,2
255,"Создать элемент 'Растительность' для локации 1 уровня 6, объект 6",1,1,1,1,2,1
256,"Создать элемент 'Препятствия' для локации 1 уровня 6, объект 7",1,1,3,1,2,2
257,"Создать элемент 'Камни' для локации 1 уровня 6, объект 8",1,3,1,1,2,1
258,"Создать элемент 'Растительность' для локации 1 уровня 6, объект 9",1,3,2,1,2,3
259,"Создать элемент 'Ландшафт' для локации 1 уровня 6, объект 10",4,8,3,4,3,2
260,"Создать элемент 'Внешний вид' для локации 1 уровня 6, объект 1",4,12,2,4,2,2
261,"Создать элемент 'Внешний вид' для локации 1 уровня 6, объект 2",4,8,2,4,2,2
262,"Создать элемент 'Звук' для локации 1 уровня 6, объект 3",3,9,1,3,5,2
263,"Создать элемент 'Атаки' для локации 1 уровня 6, объект 4",5,15,1,5,1,3
264,"Создать элемент 'Анимации' для локации 1 уровня 6, объект 5",5,5,1,5,2,3
265,"Создать элемент 'Внешний вид' для локации 1 уровня 6, объект 6",2,4,2,2,2,3
266,"Создать элемент 'Внешний вид' для локации 1 уровня 6, объект 7",4,12,3,4,2,3
267,"Создать элемент 'Атаки' для локации 1 уровня 6, объект 8",5,5,2,5,1,1
268,"Создать элемент 'Атаки' для локации 1 уровня 6, объект 9",5,10,2,5,1,2
269,"Создать элемент 'Звук' для локации 1 уровня 6, объект 10",4,12,3,4,5,3
270,"Создать элемент 'Звук' для локации 1 уровня 6, объект 1",3,9,2,3,5,2
271,"Создать элемент 'Анимации' для локации 1 уровня 6, объект 2",2,2,1,2,2,3
272,"Создать элемент 'Анимации' для локации 1 уровня 6, объект 3",5,10,3,5,2,1
273,"Создать элемент 'Анимации' для локации 1 уровня 6, объект 4",1,1,3,1,2,3
274,"Создать элемент 'Атаки' для локации 1 уровня 6, объект 5",3,3,1,3,1,2
275,"Создать элемент 'Анимации' для локации 1 уровня 6, объект 6",4,12,2,4,2,1
276,"Создать элемент 'Внешний вид' для локации 1 уровня 6, объект 7",4,12,2,4,2,3
277,"Создать элемент 'Внешний вид' для локации 1 уровня 6, объект 8",1,1,3,1,2,3
278,"Создать элемент 'Анимации' для локации 1 уровня 6, объект 9",5,5,2,5,2,2
279,"Создать элемент 'Звук' для локации 1 уровня 6, объект 10",2,4,1,2,5,1
280,"Создать элемент 'Количество' для локации 1 уровня 6, объект 1",3,9,1,3,4,3
281,"Создать элемент 'Тип' для локации 1 уровня 6, объект 2",4,8,1,4,4,3
282,"Создать элемент 'Количество' для локации 1 уровня 6, объект 3",4,8,3,4,4,2
283,"Создать элемент 'Количество' для локации 1 уровня 6, объект 4",5,5,3,5,4,1
284,"Создать элемент 'Количество' для локации 1 уровня 6, объект 5",3,9,3,3,4,2
285,"Создать элемент 'Количество' для локации 1 уровня 6, объект 6",4,8,1,4,4,2
286,"Создать элемент 'Тип' для локации 1 уровня 6, объект 7",4,12,3,4,4,2
287,"Создать элемент 'Количество' для локации 1 уровня 6, объект 8",1,1,3,1,4,3
288,"Создать элемент 'Количество' для локации 1 уровня 6, объект 9",5,15,2,5,4,3
289,"Создать элемент 'Тип' для локации 1 уровня 6, объект 10",3,9,2,3,4,1
290,"Создать элемент 'Саундтрек' для локации 1 уровня 6, объект 1",3,6,1,3,5,2
291,"Создать элемент 'Окружение' для локации 1 уровня 6, объект 2",3,6,1,3,5,2
292,"Создать элемент 'Окружение' для локации 1 уровня 6, объект 3",3,9,1,3,5,2
293,"Создать элемент 'Саундтрек' для локации 1 уровня 6, объект 4",3,6,3,3,5,3
294,"Создать элемент 'Саундтрек' для локации 1 уровня 6, объект 5",4,8,2,4,5,2
295,"Создать элемент 'Саундтрек' для локации 1 уровня 6, объект 6",1,2,3,1,5,3
296,"Создать элемент 'Окружение' для локации 1 уровня 6, объект 7",1,3,3,1,5,2
297,"Создать элемент 'Саундтрек' для локации 1 уровня 6, объект 8",5,10,3,5,5,3
298,"Создать элемент 'Окружение' для локации 1 уровня 6, объект 9",2,6,2,2,5,2
299,"Создать элемент 'Окружение' для локации 1 уровня 6, объект 10",1,3,1,1,5,1
300,"Создать элемент 'Препятствия' для локации 1 уровня 7, объект 1",5,15,1,5,2,1
301,"Создать элемент 'Растительность' для локации 1 уровня 7, объект 2",3,9,1,3,2,1
302,"Создать элемент 'Ландшафт' для локации 1 уровня 7, объект 3",4,4,3,4,3,3
303,"Создать элемент 'Препятствия' для локации 1 уровня 7, объект 4",3,3,2,3,2,2
304,"Создать элемент 'Камни' для локации 1 уровня 7, объект 5",4,8,1,4,2,1
305,"Создать элемент 'Ландшафт' для локации 1 уровня 7, объект 6",5,5,1,5,3,2
306,"Создать элемент 'Препятствия' для локации 1 уровня 7, объект 7",3,3,1,3,2,2
307,"Создать элемент 'Растительность' для локации 1 уровня 7, объект 8",3,6,1,3,2,2
